label:text	type:text	uri:url	change:text	changedItem:text	modified:text	wealth:number	number:number	ageAtPeak:text	ageAtDeath:text	origin:text	residence:text	origin-country:text	company:text	latLng:text	label-link:text	origin-link:text	residence-link:text	company-link:text	
John Davison Rockefeller	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#John%20Davison%20Rockefeller				189.7	1	97	97	Richford, NY	United States	United States	Standard Oil Company	42.35623,-76.2007	/axowiki/index.php?title=John_Davison_Rockefeller&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Standard_Oil_Company&action=edit	
Cornelius Vanderbilt	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Cornelius%20Vanderbilt				150.6	2	82	82	New York City, NY	United States	United States	Railroad, shipping	40.71449,-74.00713	/axowiki/index.php?title=Cornelius_Vanderbilt&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Railroad&action=edit	
Henry Ford	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Henry%20Ford				140.9	3	57	83	Detroit, MI	United States	United States	Ford Motor Company	42.33162,-83.04779	/axowiki/index.php?title=Henry_Ford&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Ford_Motor_Company&action=edit	
H. L. Hunt	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#H.%20L.%20Hunt				122.0	4	75	85	Ramsey, IL	United States	United States	Hunt Refining Company	39.14464,-89.10827	/axowiki/index.php?title=H._L._Hunt&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Hunt_Refining_Company&action=edit	
Andrew Carnegie	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Andrew%20Carnegie				120.0	5	75	83	Scotland	United States	Scotland	Carnegie Steel Company	33.647491,-98.461905	/axowiki/index.php?title=Andrew_Carnegie&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Carnegie_Steel_Company&action=edit	
John Jacob Astor	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#John%20Jacob%20Astor				103.4	6	84	84	Walldorf, Germany	United States	Germany	American Fur Company	50.005067,8.574268	/axowiki/index.php?title=John_Jacob_Astor&action=edit	/axowiki/index.php?title=Germany&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=American_Fur_Company&action=edit	
William Henry Gates III	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#William%20Henry%20Gates%20III				100.0	7	44	51	Seattle, WA	United States	United States	Microsoft	47.60342,-122.32971	/axowiki/index.php?title=William_Henry_Gates_III&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Microsoft&action=edit	
Carlos Slim Helu	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Carlos%20Slim%20Helu				68.7	8	67	67	Mexico City, Mexico	Mexico	Mexico	Telmex	19.410636,-99.130588	/axowiki/index.php?title=Carlos_Slim_Helu&action=edit	/axowiki/index.php?title=Mexico&action=edit	/axowiki/index.php?title=Mexico&action=edit	/axowiki/index.php?title=Telmex&action=edit	
Larry Ellison	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Larry%20Ellison				58.0	9	55	61	New York City, NY	United States	United States	Oracle Corporation	40.71449,-74.00713	/axowiki/index.php?title=Larry_Ellison&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Oracle_Corporation&action=edit	
Warren Buffett	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Warren%20Buffett				52.4	10	76	76	Omaha, NE	United States	United States	Berkshire Hathaway	41.2607,-95.93989	/axowiki/index.php?title=Warren_Buffett&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=Berkshire_Hathaway&action=edit	
Howard Hughes	Billionaire	http://trunk.simile-widgets.org/exhibit/examples/billionaires/item#Howard%20Hughes				41.4	12	45	50	Houston, TX	United States	United States	TWA	29.76047,-95.36982	/axowiki/index.php?title=Howard_Hughes&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=United_States&action=edit	/axowiki/index.php?title=TWA&action=edit	
