"label"	"spaceAgencyName"	"launchPlaceName"	"latitude"	"longitude"	"astroName"	"birthPlaceName"
"STS-73"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Kathryn C. Thornton"	"Montgomery, Alabama"
"UNIFORM-1"	"Wakayama University"	"Yoshinobu Launch Complex"				
"Soyuz TMA-12M"	"Roskosmos"	"Gagarin's Start"	45.9203	63.3422	"Oleg Artemyev"	"Latvia"
"Mercury-Redstone 2"	"NASA"	"Cape Canaveral Air Force Station"				
"Soyuz TMA-16"	"Roskosmos"	"Baikonur Cosmodrome Site 1"				
"STS-129"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Leland D. Melvin"	"Lynchburg, Virginia"
"STS-45"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Michael Foale"	"England"
"SES-6"	"SES S.A."	"Baikonur Cosmodrome"				
"Luna 1"	"Soviet Union"	"Baikonur Cosmodrome Site 1"				
"NOAA-17"	"National Oceanic and Atmospheric Administration"	"Vandenberg Air Force Base"				
"STS-79"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Carl E. Walz"	"Cleveland, Ohio"
"USA-227"	"National Reconnaissance Office"	"Cape Canaveral Air Force Station"				
"STS-64"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jerry M. Linenger"	"East Detroit, Michigan"
"Zond 8"	"Soviet Union"	"Baikonur Cosmodrome"				
"Saturn I SA-2"	"NASA"	"Cape Canaveral Air Force Station"				
"Telstar"	"NASA"	"Cape Canaveral Air Force Station"				
"SpaceX CRS-10"	"SpaceX"	"SLC-40"				
"STS-55"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Ulrich Walter"	"Germany"
"Kosmos 2443"	"Russian Space Forces"	"Baikonur Cosmodrome Site 81"				
"Progress M-16M"	"Roskosmos"	"Baikonur Cosmodrome Site 1"				
"Lunar Orbiter 2"	"NASA"	"Cape Canaveral Air Force Station"				
"STS-109"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Richard M. Linnehan"	"Lowell, Massachusetts"
"Orbiting Carbon Observatory 2"	"NASA"	"Vandenberg Air Force Base"				
"NSS-6"	"New Skies Satellites"	"ELA-2"				
"Vanguard 2"	"Department of the Navy"	"Cape Canaveral Air Force Station"				
"STS-122"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Alan G. Poindexter"	"Pasadena, California"
"STS-28"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Richard N. Richards"	"Florida"
"Pioneer 1"	"NASA"	"Cape Canaveral Air Force Station"				
"STS-51-L"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Gregory Jarvis"	"Detroit"
"ESSA-9"	"National Oceanic and Atmospheric Administration"	"Cape Canaveral Air Force Station"				
"STS-68"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Terrence W. Wilcutt"	"Russellville, Kentucky"
"OPUSAT"	"Osaka Prefecture University"	"Tanegashima Space Center"				
"TDRS-5"	"NASA"	"Kennedy Space Center Launch Complex 39"				
"SaudiSat-4"	"KACST"	"Dombarovsky (air base)"				
"SERT-1"	"NASA"	"Wallops Flight Facility Launch Area 3"				
"BSAT-2a"	"Broadcasting Satellite System Corporation"	"Guiana Space Center"				
"USA-214"	"United States Air Force"	"Cape Canaveral Air Force Station"				
"Eutelsat 36A"	"Eutelsat"	"Cape Canaveral Air Force Station"				
"Zond 3MV-1 No.2"	"OKB-1"	"Gagarin's Start"				
"N-STAR a"	"SKY Perfect JSAT Group"	"ELA-2"				
"Landsat 3"	"NASA"	"Vandenberg Air Force Base"				
"TIMED"	"NASA"	"Vandenberg Air Force Base"				
"Intelsat 15"	"Intelsat"	"Baikonur Cosmodrome Site 45"				
"Intelsat II F-2"	"Intelsat"	"Cape Canaveral Air Force Station"				
"ICESat"	"NASA"	"Vandenberg Air Force Base"				
"IRAS"	"Science and Engineering Research Council"	"Vandenberg Air Force Base"				
"Apollo 7"	"NASA"	"Cape Canaveral Air Force Station"	28.4889	-80.5778	"Wally Schirra"	"Hackensack, New Jersey"
"UWE-2"	"University of Würzburg"	"Satish Dhawan Space Centre"				
"Bulgaria 1300"	"Bulgarian Space Agency"	"Plesetsk Cosmodrome"				
"STS-127"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Christopher Cassidy"	"Salem, Massachusetts"
"TacSat-1"	"NRL"	"Omelek Island"				
"Shenzhou 11"	"China National Space Administration"	"Jiuquan Satellite Launch Center"	40.9606	100.279	"Jing Haipeng"	"Yuncheng"
"Gemini 7"	"NASA"	"Cape Canaveral Air Force Station"	28.4889	-80.5778	"Frank Borman"	"Gary, Indiana"
"STS-57"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Ronald J. Grabe"	"New York (state)"
"STS-127"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Douglas G. Hurley"	"New York (state)"
"Upper Atmosphere Research Satellite"	"NASA"	"Kennedy Space Center Launch Complex 39"				
"Mariner 1"	"Jet Propulsion Laboratory"	"Cape Canaveral Air Force Station"				
"STS-69"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"James S. Voss"	"Cordova, Alabama"
"STS-79"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"William F. Readdy"	"Quonset Point, Rhode Island"
"PROBA"	"ESA"	"Satish Dhawan Space Centre"				
"Smart Lander for Investigating Moon"	"JAXA"	"Uchinoura Space Center"				
"Chollian"	"Korea Aerospace Research Institute"	"Guiana Space Centre"				
"Galaxy 25"	"Intelsat"	"Baikonur Cosmodrome Site 81"				
"STS-121"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Michael E. Fossum"	"Sioux Falls, South Dakota"
"Hayabusa"	"JAXA"	"Uchinoura Space Center"				
"Surveyor 7"	"NASA"	"Cape Canaveral Air Force Station Space Launch Complex 36"				
"Orbiting Frog Otolith"	"NASA"	"Wallops Flight Facility Launch Area 3"				
"STS-35"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"John M. Lounge"	"Denver"
"Explorer 7"	"NASA"	"Cape Canaveral Air Force Station"				
"Kosmos 2402"	"Russian Space Forces"	"Baikonur Cosmodrome Site 81"				
"STS-118"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Alvin Drew"	"Washington, D.C."
"GeneSat-1"	"NASA"	"Mid-Atlantic Regional Spaceport Launch Pad 0"				
"Soyuz MS-02"	"Roskosmos"	"Baikonur Cosmodrome"	45.92	63.342	"Sergey Nikolayevich Ryzhikov"	"Bugulma"
"STS-61-B"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jerry L. Ross"	"Crown Point, Indiana"
"Pioneer 4"	"NASA"	"Cape Canaveral Air Force Station"				
"Ekspress AT1"	"Russian Satellite Communications Company"	"Baikonur Cosmodrome Site 81"				
"Luna 2"	"Soviet Union"	"Baikonur Cosmodrome Site 1"				
"PAS-22"	"Hughes Space and Communications"	"Baikonur Cosmodrome Site 81"				
"Astra 1M"	"SES S.A."	"Baikonur Cosmodrome"				
"Nilesat 102"	"Nilesat"	"ELA-2"				
"Kwangmyŏngsŏng-3"	"Korean Committee of Space Technology"	"Sohae Satellite Launching Station"				
"STS-46"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Jeffrey A. Hoffman"	"Brooklyn"
"Intelsat II F-4"	"Intelsat"	"Cape Canaveral Air Force Station"				
"STS-122"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Stephen Frick"	"Pittsburgh"
"STS-83"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Donald A. Thomas"	"Cleveland"
"Universitetsky-Tatyana-2"	"Moscow State University"	"Baikonur Cosmodrome"				
"Sputnik 3"	"S.P. Korolev Rocket and Space Corporation Energia"	"Baikonur Cosmodrome Site 1"				
"STS-26"	"NASA"	"Kennedy Space Center Launch Complex 39"	28.6084	-80.6043	"Richard O. Covey"	"Fayetteville, Arkansas"
"Soyuz TMA-20"	"Roskosmos"	"Baikonur Cosmodrome Site 1"				
"Intelsat 27"	"Intelsat"	"Pacific Ocean"				
"SDS-1"	"JAXA"	"Tanegashima Space Center"				
"Ralphie (satellite)"	"Space Test Program"	"Cape Canaveral Air Force Station"				
