"label","spaceAgencyName","launchPlaceName","latLong","astroName","birthPlaceName"
"STS-51-C","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gary Payton (astronaut)","Rock Island, Illinois"
"STS-9","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Ulf Merbold","Greiz"
"STS-73","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael López-Alegría","Spain"
"USA-195","US Air Force","Cape Canaveral Air Force Station",",",,
"Türksat 1A","Turksat (company)","ELA-2",",",,
"Intelsat 2","Intelsat","ELA-2",",",,
"TDRS-L","NASA","Cape Canaveral Air Force Station",",",,
"STS-66","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jean-François Clervoy","France"
"Soyuz TMA-1","Rosaviakosmos","Baikonur Cosmodrome Site 1",",",,
"Aura (satellite)","NASA","Vandenberg Air Force Base",",",,
"STS-94","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael L. Gernhardt","Mansfield, Ohio"
"Crew Module Atmospheric Re-entry Experiment","Indian Space Research Organisation","Satish Dhawan Space Centre Second Launch Pad",",",,
"USA-64","US Air Force","Cape Canaveral Air Force Station",",",,
"TerraSAR-X","German Aerospace Center","Baikonur Cosmodrome Site 109",",",,
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Gregory C. Johnson","Seattle"
"Mercury-Redstone 1","NASA","Cape Canaveral Air Force Station",",",,
"Galaxy 11","Intelsat","ELA-2",",",,
"Mariner 2","Jet Propulsion Laboratory","Cape Canaveral Air Force Station",",",,
"Yamal 201","Gazprom Space Systems","Baikonur Cosmodrome Site 81",",",,
"Kosmos 2435","Russian Space Forces","Baikonur Cosmodrome Site 81",",",,
"Vega 2","Soviet Academy of Sciences","Baikonur Cosmodrome",",",,
"STS-81","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","John M. Grunsfeld","Chicago, Illinois"
"Cartosat-2","Indian Space Research Organisation","Satish Dhawan Space Centre",",",,
"STS-49","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Pierre J. Thuot","Connecticut"
"STS-61-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Rodolfo Neri Vela","Chilpancingo"
"Göktürk-2","Ministry of National Defence (Turkey)","Jiuquan Satellite Launch Center",",",,
"Beach Abort","NASA","Wallops Flight Facility",",",,
"STS-78","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Jean-Jacques Favier","Kehl"
"Solar Orbiter","European Space Agency","Cape Canaveral Air Force Station",",",,
"STS-51-B","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Frederick D. Gregory","Washington, D.C."
"Soyuz 5","Soviet space program","Baikonur Cosmodrome Site 1",",",,
"Pegasus 3","NASA","Cape Canaveral Air Force Station",",",,
"Intelsat II F-4","Intelsat","Cape Canaveral Air Force Station",",",,
"STS-118","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Alvin Drew","Washington, D.C."
"Progress M1-6","Roskosmos","Gagarin's Start",",",,
"STS-71","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles J. Precourt","Waltham, Massachusetts"
"Soyuz 8","Soviet space program","Baikonur Cosmodrome","45.91999816894531,63.34199905395508","Aleksei Yeliseyev","Zhizdra"
"Cosmos 1","Planetary Society","Barents Sea",",",,
"JCSAT-5A","SKY Perfect JSAT Group","Odyssey (launch platform)",",",,
"Surveyor 6","NASA","Cape Canaveral Air Force Station Space Launch Complex 36",",",,
"STS-125","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott Altman","Lincoln, Illinois"
"INSAT-4CR","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"SES-7","SES World Skies","Baikonur Cosmodrome",",",,
"USA-5","US Air Force","Vandenberg Air Force Base",",",,
"Kosmos 2345","VKS","Baikonur Cosmodrome",",",,
"STS-109","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Duane G. Carey","Saint Paul, Minnesota"
"STS-89","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Michael P. Anderson","Plattsburgh (city), New York"
"STS-103","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Scott Kelly (astronaut)","New Jersey"
"Fajr (satellite)","Iranian Space Agency","Semnan (city)",",",,
"NOAA-15","National Oceanic and Atmospheric Administration","Vandenberg Air Force Base",",",,
"Progress M1-5","Russian Federal Space Agency","Gagarin's Start",",",,
"TIMED","NASA","Vandenberg Air Force Base",",",,
"STS-51-D","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Donald E. Williams","Lafayette, Indiana"
"Intelsat 602","Intelsat","ELA-2",",",,
"Göktürk-1","Ministry of National Defence (Turkey)","Guiana Space Centre",",",,
"Skylab 2","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Paul J. Weitz","Erie, Pennsylvania"
"SES-8","SES S.A.","Cape Canaveral Air Force Station",",",,
"STS-114","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Charles Camarda","Queens"
"STS-41","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Bruce E. Melnick","New York City"
"Kosmos 2471","Russian Space Forces","Plesetsk Cosmodrome",",",,
"GSAT-4","ISRO","Satish Dhawan Space Centre Second Launch Pad",",",,
"STS-57","NASA","Kennedy Space Center Launch Complex 39","28.60838890075684,-80.60433197021484","Janice E. Voss","South Bend, Indiana"
"BSAT-4a","Broadcasting Satellite System Corporation","Guiana Space Center",",",,
"OPS 9794","US Air Force","Vandenberg Air Force Base",",",,
"Kosmos 2472","GRU","Plesetsk Cosmodrome",",",,
