label,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Q11699464,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Q41703834,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Q41703834,Uchinoura Space Center,Japan,National Aeronautics and Space Administration,,,"31.251944444,131.081944444"
Q686920,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
2001 Mars Odyssey,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
2001 Mars Odyssey,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
A Broadband Imaging X-ray All-sky Survey,Kapustin Yar,Russia,German Aerospace Center,,,"48.5655,46.2952"
A-101,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-102 (spacecraft),Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-103 (spacecraft),Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-104 (spacecraft),Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-105,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
AAUSAT3,Satish Dhawan Space Centre First Launch Pad,India,Aalborg University,,,"13.733,80.235"
ABS-3,Xichang Satellite Launch Center,People's Republic of China,Mabuhay Satellite Corporation,,,"28.246016666,102.026555555"
ABS-3A,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Asia Broadcast Satellite,,,"28.5621,-80.5772"
ADEOS I,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADEOS II,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADM-Aeolus,Guiana Space Centre,France,European Space Agency,,,"5.237222222,-52.760555555"
